COMPANY,company2,company3,company4,company5,company6,MINE,TOWN,PROVINCE,latitude,longitude,YEAR_OPENED,YEAR_CLOSED,open2,close2,open3,close3,commodityall,commodity1,commodity2,commodity3,commodity4,commodity5,commodity6,commodity7,commodity8,information,source1,source2,source3,link1,link2,link3
Stettler Coal Co. Ltd.,,,,,,,Halkirk ,Alberta,52.47596003,-112.1930807,1950,1977,,,,,Coal,Coal,,,,,,,,,1,1,0,,,
Crows Nest Resources Ltd.,Line Creek Resources Ltd.,Manalta Coal Ltd.,Luscar Ltd.,,,Line Creek,Line Creek,British Columbia,49.929166,-114.77611,1972,2015,,,,,Coal,Coal,,,,,,,,,1,1,0,,,
Manitoba and Saskatchewan Coal Co. Ltd. ,,,,,,,Estevan ,Saskatchewan,49.12002,-102.9742843,1975,1983,,,,,Coal,Coal,,,,,,,,,1,1,0,,,
Western Dominion Coal Mines Ltd. ,,,,,,Taylorton,,Saskatchewan,49.087551,-102.7885072,1890,1963,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Portal Coals Ltd. ,,,,,,Sutherland,Roche Perce,Saskatchewan,49.06874066,-102.8021981,1878,1955,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
"Canmore Mines Ltd., The",,,,,,,Canmore ,Alberta,51.05617338,-115.3362971,1895,1974,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Novaco Ltd.,T. Brogan and Sons Limited,Pioneer Coal Ltd.,,,,Point Aconi,Point Aconi ,Nova Scotia,46.31833,-60.30611,1975,2013,,,,,Coal,Coal,,,,,,,,,1,0,1,https://www.mindat.org/loc-19087.html,,
Forestburg Collieries Ltd. ,Luscar Ltd.,Westmoreland Coal Company,,,,Paintearth,Forestburg ,Alberta,52.48106528,-112.219718,1978,2021,,,,,Coal,Coal,,,,,,,,,1,0,1,https://www.hannaherald.com/news/end-of-an-era-as-mine-set-to-close,,
Drummond Coal Ltd.,Pioneer Coal Co. Ltd,Pioneer Coal Co. Inc.,,,,Pioneer or Drummond,Westville ,Nova Scotia,45.55917,-62.71222,1868,1984,,,,,Coal,Coal,,,,,,,,"Closing of Drummond Colliery, Westville, Nova Scotia 
In 1946 Acadia Coal reopened the McBean Seam in Thorburn, where the geology was suitable for modern mining. DOSCO (the owner) touted the new McBean as the first all-mechanized mine in Canada. However, oil continued to usurp coal markets, so that the mine soon depended on production and transportation subsidies. The McBean closed on June 30, 1972.
At Westville, the small Drummond mine, now locally owned, mined coal by hand methods until a bad fire in 1984 closed this historic pit. Some of its 40 or so laid-off employees found work surface mining in Westville with Pioneer Coal.",1,0,1,https://www.mindat.org/loc-27691.html,"https://notyourgrandfathersmining.ca/drummond According to this website, the mine was mined undergrounf between 1968-1984. A surface mine operetaed in 1980s-1990s to complete extraction of the coal and reclaim the site.",https://museumofindustry.novascotia.ca/what-see-do/coal-and-grit/development-coal-mining
Joggins Coal Co. ,,,,,,,,Nova Scotia,45.68846058,-64.43947324,1887,1961,,,,,Coal,Coal,,,,,,,,"Re-opening of barite mine by Nystone Chemicals, Brookfield, Nova Scotia",1,0,1,https://notyourgrandfathersmining.ca/joggins-colliery,,
Saskatchewan Power Corp.,,,,,,Souris Valley,Estevan ,Saskatchewan,49.04987011,-102.8156485,1899,1983,,,,,Coal,Coal,,,,,,,,,1,0,1,https://www.gent.name/sask:coal:mines:souris,,
Coleman Collieries Ltd. ,International Coal and Coke Company,,,,,,Crowsnest Pass,British Columbia,49.63009712,-114.6829735,1903,1983,,,,,Coal,Coal,,,,,,,,Company towns are an essential part of Alberta’s natural resource history. Coleman is a classic example of a town built by a corporation intent on maximizing profit that grew into a community through the hard work and initiative of the town’s residents.,1,0,1,http://history.alberta.ca/energyheritage/coal/the-early-development-of-the-coal-industry-1874-1914/coal-town-formation/coleman-a-company-town.aspx#page-1,https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=1957,
Fording Coal Limited,Teck Resources Limited,Corbin Creek Resources Ltd.,Byron Creek Collieries Ltd. ,,,Coal Mountain,Sparwood,British Columbia,49.5,-114.65944,1908,2018,,,,,Coal,Coal,,,,,,,,ghost town //// also Esso Resources Canada Ltd.,1,0,1,"https://en.wikipedia.org/wiki/Corbin,_British_Columbia",,http://www.ghosttownpix.com/bc/corbin.html
Charter Coals Ltd.,Century Coals Ltd.,Amalgamated Coals Ltd. ,,,,Atlas Coal,East Coulee ,Alberta,51.32863,-112.48251,1936,1979,,,,,Coal,Coal,,,,,,,,,1,0,1,http://history.alberta.ca/energyheritage/coal/reinvention-1950-onwards/the-decline-of-albertas-mining-communities/the-fate-of-east-coulee-and-atlas-coal-mine.aspx,https://geohack.toolforge.org/geohack.php?pagename=Atlas_Coal_Mine&params=51.32863_N_112.48251_W_&title=Atlas+Coal+Mine_type:landmark_region:CA-AB,
Canadian Collieries (Dunsmuir) Ltd. ,,,,,,Mercoal,Mercoal,Alberta,53.16712917,-117.0832472,1942,1959,,,,,Coal,Coal,,,,,,,,,1,0,1,https://documents.techno-science.ca/documents/COALMININGINCANADA-AHISTORICALANDCOMPARATIVEOVERVIEW.pdf,https://issuu.com/experiencetravelguides/docs/experience_our_coal_history,
Star-Key Mines Ltd. ,,,,,,,Edmonton ,Alberta,53.70906292,-113.5776368,1945,1979,,,,,Coal,Coal,,,,,,,,,1,0,1,https://hermis.alberta.ca/paa/Details.aspx?st=mining&cp=0&CollectionID=1&ReturnUrl=%2Fpaa%2FSearch.aspx%3Fst%3Dmining%26cp%3D0%26CollectionID%3D1&dv=True&DeptID=1&ObjectID=PR2815,,
King Mining Co. Ltd.,Dufferin Mining Ltd.,,,,,,,New Brunswick,46.0457,-66.0439,1961,1967,,,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),1,0,1,https://www1.gnb.ca/0078/GeoscienceDatabase/IndustrialMinerals/qryIndMinSummary-e.asp?Num=568,,
River Hebert Coal Co. Ltd.,,,,,,,River Hebert ,Nova Scotia,45.69318242,-64.41173139,1963,1980,,,,,Coal,Coal,,,,,,,,,1,0,1,https://www.cbc.ca/news/canada/nova-scotia/gypsum-layoffs-shutdown-mine-plant-1.3822094,https://www.cbc.ca/news/canada/nova-scotia/little-narrows-gypsum-plant-not-mining-this-summer-1.3648387,
N.B Coal Ltd.,,,,,,Salmon Harbour,Minto ,New Brunswick,46.09865726,-66.02331455,1970,2008,,,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),1,0,1,https://www.atlanticclra.ca/wp-content/uploads/2014/12/Ghost-Hollow-Brook.pdf,,
"Cape Breton Development Corp., (DEVCO)",,,,,,Prince ,Point Aconi,Nova Scotia,46.31856612,-60.30707601,1975,2001,,,,,Coal,Coal,,,,,,,,,1,0,1,https://www.cbc.ca/news/canada/cape-breton-s-last-underground-coal-mine-closing-1.296787,,
Pioneer Coal Co. Ltd. ,,,,,,,Westville ,Nova Scotia,45.556667,-62.66,1991,2019,,,,,Coal,Coal,,,,,,,," Opening in 1996 ""Pioneer Coal Ltd., an Antigonish-based mining company is in the process of winding down its open pit mine in Stellarton and has been looking for new sources of coal. It approached Westville last year about doing exploratory drilling on historical underground mine works. - Aaron Beswick"" (source3 link1)",1,0,1,https://www.saltwire.com/nova-scotia/business/proposed-pictou-county-open-pit-coal-mine-project-has-westville-residents-riled-328087/,https://notyourgrandfathersmining.ca/stellarton-surface-mine,
Battle River Coal Ltd. ,Manalta Coal Ltd. ,Westmoreland Coal Company,,,,Sheerness,Sheerness ,Alberta,51.49346416,-111.6880825,1986,2021,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Sissons Mines Ltd.,,,,,,,Alix,Alberta,52.31971666,-113.2133589,1919,2002,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Luscar Coals Ltd. ,,,,,,,Luscar,Alberta,53.06594227,-117.4070829,1921,1958,,,,,Coal,Coal,,,,,,,,Luscar is a ghost town,1,0,0,,,
Alberta Power Limited,Battle River Coal Ltd. ,Manalta Coal Ltd. ,,,,Vesta,Halkirk ,Alberta,52.46720085,-112.1525496,1922,2012,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Lethbridge Collieries Ltd. ,,,,,,,,Alberta,49.84729193,-112.8413593,1927,1965,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Murray Collieries Ltd.,,,,,,,,Alberta,51.32831643,-112.5183234,1936,1959,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Egg Kale Coal Co. Ltd. ,,,,,,,Morinville,Alberta,53.8883266,-113.7289473,1941,2004,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Alberta Coal Sales Ltd.,,,,,,,,Alberta,49.80567707,-112.1788169,1943,1968,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
North West Coal Co. Ltd. ,,,,,,,,Saskatchewan,49.142675,-102.858797,1947,1965,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
McMann V. C. Ltd. ,A.W. Wasson Ltd.,,,,,,,New Brunswick,46.07595292,-66.0748075,1955,1965,,,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),1,0,0,,,
D.W. and R.A. Mills Ltd.,,,,,,,Minto ,New Brunswick,46.07595292,-66.0748075,1955,1969,,,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),1,0,0,,,
Great West Coal Co. Ltd.,Western Dominion Coal Mines Ltd. ,,,,,,,Alberta,53.54493837,-113.3834964,1962,1968,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Alberta Southern Coal Co. Ltd. ,Alberta Coal Ltd. ,Manalta Coal Ltd. ,TransAlberta Utilities Corporation,,,Whitewood ,Wabamun ,Alberta,53.58966554,-114.5237074,1962,2010,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Thomas Brogan & Son,,,,,,,,Nova Scotia,46.31704363,-60.30067648,1967,1993,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Evans Coal Mines Ltd. ,Pioneer Coal Co. Inc. and Thorburn,,,,,Evans or St. Rose,St. Rose  (Inverness),Nova Scotia,46.33443215,-61.20440514,1967,1992,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Midland Mining Co. Ltd.,,,,,,,Minto ,New Brunswick,46.07595292,-66.0748075,1969,1969,,,,,Coal,Coal,,,,,,,,Minor occurrence (limited to no exploration work),1,0,0,,,
Manalta Coal Ltd.,TransAlberta Utilities Corporation,TransAlta Utilities Corporation,Transalta Corporation,,,Highvale,Seba Beach ,Alberta,53.4692849,-114.5245868,1969,2021,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
"Cape Breton Development Corp., ",,,,,,Lingan,New Waterford,Nova Scotia,46.25249299,-60.0978728,1972,1992,,,,,Coal,Coal,,,,,,,,"1966: Formation of Cape Breton Development Corporation to revitalize mining in the Sydney coalfield, Nova Scotia. 1968: Cape Breton Development Corporation takes over operations of remaining mines in Sydney coalfield, Nova Scotia.",1,0,0,,,
Luscar Ltd.,,,,,,Boundary Dam,Estevan ,Saskatchewan,49.105929,-103.0202158,1973,2019,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Quintette Coal Ltd.,,,,,,Quintette,Tumbler Ridge,British Columbia,55.027221,-121.19055,1983,2000,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Curragh Resources Corporation,,,,,,Whiskey Lake,Whitehorse,Yukon,61.97472222,-132.5325,1986,1992,,,,,Coal,Coal,,,,,,,,,1,0,0,,,
Thorburn Mining Limited,Pictou County Research and Development Commission,Pioneer Coal Co. Inc.,,,,Stellarton,Stellarton ,Nova Scotia,45.55512033,-62.55392993,1996,2019,,,,,Coal,Coal,,,,,,,,"another in 2003 is called Coalburn Mine /// Rio Algom constructing plant for tin mine, near Yarmouth, Nova Scotia",1,0,0,,,
Crow's Nest Pass Coal Co. Ltd. ,,,,,,,,British Columbia,49.65448068,-114.7145444,1897,1978,,,,,Coal,Coal,,,,,,,,"The Crow's Nest Pass Coal Company was established in 1897 to develop the coal resources of the British Columbia side of the Crowsnest Pass. Several subsidiaries were created to operate ancillary activities. They included the Morrissey, Fernie and Michel Railway, and the Crows Nest Pass Electric Light and Power Company. Various mines were opened at Coal Creek, Natal, Michel and Morrissey. After the Second World War demand for coal dropped and the company diversified through a subsidiary, Crow's Nest Pass Oil and Gas Company. As the 1950s and 1960s progressed the mines were closed and the company moved into the forest products area. Other subsidiaries acquired by the company were American Coal and Coke Company, Crows Nest Forest Products, Crows Nest Plywoods Ltd., East Kootenay Lumber Company, E.C. Letcher Lumber Company, Fernie Equipment Company, Gold Creek Timber Company, Knight Lumber Company, Kootenay and Elk Railway Company, Kootenay Coal Company, Transpacific Export Corporation (Transpac), Crow's Nest Pass Lumber Company, St. Mary's Lumber Company, and Wilson Lumber Company (Fernie) Ltd. In 1965 the name of the company was changed to Crows Nest Industries Ltd. In 1968 the company's coal resources were sold to Kaiser Steel and the assets of Crows Nest Pass Electric Light and Power were sold to British Columbia Hydro. Another subsidiary, Transpac, was sold in 1971. A change in the demand for coal resulted in the company reacquiring some coal lands from Kaiser in 1976. In 1977 Shell Canada purchased the company and renamed it Crowsnest Resources Ltd. The company was disbanded in 1991 and its assets redistributed. ///1876-1983, predominant 1897-1978 (Creation)",0,0,1,https://albertaonrecord.ca/crowsnest-resources-ltd-fonds,,
